SDPA-GMP start at Mon May 26 13:39:28 2025
data      is input_sdpa.dat
parameter is ./param.sdpa
out       is output_sdpa2.dat
DENSE computation
   mu      thetaP  thetaD  objP      objD      alphaP  alphaD  beta 
 solve           =       0.030000,  4.411765
 sumDz           =       0.020000,  2.941176
 makedX          =       0.000000,  0.000000
 symmetriseDx    =       0.000000,  0.000000
 makedXdZ        =       0.030000,  4.411765
 xMatTime        =       0.000000,  0.000000
 zMatTime        =       0.000000,  0.000000
 invzMatTime     =       0.000000,  0.000000
 xMatzMatTime    =       0.000000,  0.000000
 EigxMatTime     =       0.030000,  4.411765
 EigzMatTime     =       0.010000,  1.470588
 EigxMatzMatTime =       0.000000,  0.000000
 updateRes       =       0.010000,  1.470588
 EigTime         =       0.040000,  5.882353
 sub_total_bMat  =       0.440000,  64.705882
 Main Loop       =       0.680000,  100.000000
 File Check      =       0.000000,  0.000000
 File Change     =       0.000000,  0.000000
 File Read       =       0.010000,  1.470588
 Total           =       0.690000,  101.470588

xVec = 
